URL,Name,Price,Rating,Reviews,Description,ASIN,Manufecturer,Image_url
https://www.amazon.sa//-/en/Portable-Conditioner-Cooler-Cooling-Conditioning/dp/B0BYNZTKF3/ref=sr_1_59?qid=1686411429&s=home&sr=1-59,"        Portable Mini Air Conditioner, Air Cooler Fan, Water Cooling Fan, Air Conditioning air cooler For Office Mobile Air Conditioner       ",154,,,"   Rapid cooling, humidification and atomization     Six speed wind control     6 hours time off     Night light design     Blow the air at a wide Angle    ",AR2055,B0BYNZTKF3,https://m.media-amazon.com/images/I/51WSwDcTJAL._AC_SY355_.jpg
https://www.amazon.sa//-/en/Nikai-Microwave-Function-NMO515N8NX-Warranty/dp/B0842J1SGL/ref=sr_1_60?qid=1686411429&s=home&sr=1-60,        Nikai 20 Liter 700W Microwave with Auto Menu Function | Model No NMO515N8NX with 2 Years Warranty       ,199,4.3 out of 5 stars,382 ratings,"   Renders 5 levels of power to select the intensity at which you want your food cooked     Auto menu function automatically cooks your food, according to its nature, accurately and evenly     Provides defrost function which offers you quick and efficient cooking     Comes with a clearly visible digital display panel for added functionality     Provides quick and easy meal preparation     Ensures that all the nutrients contained in the food are preserved    ",NMO515N8NX,B0842J1SGL,https://m.media-amazon.com/images/I/91G+yulbCKL._AC_SX355_.jpg
https://www.amazon.sa//-/en/Nikai-Double-Electric-Nktoe5N2-warranty/dp/B0773V3XL6/ref=sr_1_61?qid=1686411429&s=home&sr=1-61,"        Nikai Double Electric Hot Plate|2500W|50/60Hz|Model No Nktoe5N2, min 2 yrs warranty       ",109,4.2 out of 5 stars,133 ratings,   Adjustable thermostat control power indicator light     Die cast Iron hot plates 188MM/155MM Stainless Steel Body     Twin hot plates     Adjustable thermostat control     Power indicator light     Overheat protection    , B0773V3XL6 ,,https://m.media-amazon.com/images/I/812ely+4zfL._AC_SX450_.jpg
https://www.amazon.sa//-/en/Deflector-Preventing-Retractable-Windshield-Installation/dp/B09BD32PXZ/ref=sr_1_62?qid=1686411429&s=home&sr=1-62,"        Split AC Air Flow Deflector, Preventing AC from Blowing Directly, Retractable AC Windshield, Universal Free Installation       ",118,3.9 out of 5 stars,32 ratings,"   【INSTALL IN ONE SECOND】 -- no punching, no glue, open the hook rod, and then hang it on the air conditioner     【ANTI-CONDENSATION】 -- dense hole design to prevent accumulation of condensate     【PREVENT DIRECT BLOWING】 -- evenly distribute more than 3000 pores, soft feeling and guide wind, peace of mind and comfort     【SCALABLE】 -- 180 degrees freely adjustable, wind direction can be controlled at will     【ENVIRONMENTALLY FRIENDLY MATERIALS】 -- PPA environmentally friendly high temperature resistant materials, not easy to deform, no pictures and no smell, can be used by pregnant women and babies    ", B09BD32PXZ ,BigBigWorld_ksa,https://m.media-amazon.com/images/I/61772OpFfAL._AC_SY450_.jpg
https://www.amazon.sa//-/en/Easylifeses-Electric-Processor-Stainless-Vegetables/dp/B09V5CSZ5W/ref=sr_1_63?qid=1686411429&s=home&sr=1-63,"        Easylifeses Meat Grinder Electric,garlic press, UK plug Food Processor 2L Stainless Steel Meat Blender Food Chopper for Meat, Vegetables, Fruits and Nuts with 4 Sharp Blades       ",49,3.2 out of 5 stars,45 ratings,"   1.[MULTI-FUNCTIONAL FOOD CHOPPER] : This food grinder is equipped with 4 stainless steel blades and 2 modes to choose from. You can chop, grind various ingredients, such as onions, meat, ham, garlic     2.[SHARP AND EFFICIENT ]； The electric meat grinder comes with real power 250W, which is more efficient and fast. 4 stainless steel blades 4D design allows the upper and lower blades to evenly chop food from every angle of 360 degrees     3.[BIG CAPACITY AND DURABILITY ]: Easylifeses chopper is equipped with a stainless steel bowl and 2L capacity. Compared with glass bowls, it is stronger, healthier and shock-proof, ensuring durability. The joint connection between blade and the main body is made of stainless steel unlike other plastic one thus the blade is not easy to break off     4.[EASY TO CLEAN FOR USER]:FRIENDLY DESIGN - The unit can be disassembled and the accessories are easier to clean. The chopper comes with a non-slip mat, you can put the bowl on the mat     5. Amazon's official FBA logistics delivery, the fastest can arrive the next day, don't worry about the delivery speed    ", B09V5CSZ5W ,Weshop world,https://m.media-amazon.com/images/I/71w+4ysICSL._AC_SY450_.jpg
https://www.amazon.sa//-/en/MIBRU-Coffee-Reusable-Specialty-%D8%A8%D8%A7%D9%84%D8%AA%D9%82%D8%B7%D9%8A%D8%B1/dp/B0BVZNVMN7/ref=sr_1_64?qid=1686411429&s=home&sr=1-64,        MIBRU Coffee Quick Reusable Drip Set 4 IN 1 Specialty Coffee Drip Kit طقم بالتقطير       ,105,3.0 out of 5 stars,3 ratings,"   4-in-1 Coffee Drip Set with Washable and Reusable Filter Set for drip coffee lovers     ☕MIBRU Glass bowl with stainless steel filter and heat resistant handle suitable 400ML capacity وعاء بفلتر ستانلس ستيل     ☕MIBRU Manual Coffee Grinder, Manual Coffee Grinder Portable Hand Coffee Grinder with Adjustable Setting Stainless Steel Coffee Mill for Drip Coffee Espresso for Home طاحونة يدوية (Matte Black)     ☕MIBRU Coffee Filter Permanent Pour Over Coffee Dripper Paperless Drip Cup Stainless Steel Coffee Filter for Manual Coffee Maker فلتر قهوة     ☕ MIBRU Coffee drip pitcher made of stainless steel with a small spout and a long neck for pouring coffee 350ml ابريق تقطير القهوة     ☕Drip coffee preparation tools Glass pot with filter No need to use paper filter Coffee paper Easy to use and drip Enjoy a delicious cup of coffee at all times and anywhere Professional group Quick-to-prepare package     ☕【MIBRU CUSTOMER SATISFACTION 】We are a manufacturer focus on coffee tools want to make every effort to make sure that our customers enjoy nice purchase experience. If you have any problem With our products please contact us first, we would try our best to help you, we don't compromise even a single percent on customer satisfaction that's we offer 100% money back guarantee to our customers. If you are not satisfied, you can easily return and can get your money back without any worries.    ", B0BVZNVMN7 ,Jumla Tech,https://m.media-amazon.com/images/I/71XEW6gOR8L._AC_SX466_.jpg
https://www.amazon.sa//-/en/QAHWA-Electric-Gooseneck-Kettle-Temperature/dp/B0C6J1HGQB/ref=sr_1_65?qid=1686411429&s=home&sr=1-65,"        QAHWA Electric Gooseneck Kettle - 304 Stainless Steel Coffee and Tea Pot, Automatic Temperature Control and Constant Temperature, Quick Heating (BLack)       ",185,,,"   【MULTIFUNCTION ELECTRIC KETTLE】 - Boiling water, making tea, brewing coffee, dechlorinating, maintaining a constant temperature, is a good helper for your work and life. A stainless steel gooseneck kettle that pours as good as it looks for the ultimate brewing experience     【PRECISION POUR】 - Sleek pointed spout is designed for a powerful but precise stream for the optimal pour over flow rate, and the counterbalanced handle provides a sturdy grip encouraging a slower pour     【TEMPERATURE MATTERS】 - Speed up your brewing process with and its 1000 watt quick-heating element for boiling water. the-degree temperature control makes perfecting your manual cup of coffee or steeped tea a breeze     【BREW LIKE A PRO】 - A sleek LCD display screen indicates the desired Set Temp & Real-Time Temp for your drip coffee or tea; 4 minutes quick heat; engage the hold toggle, and your water will keep hot for up to 24 hours     【WELL CRAFTED KETTLE】 - Aesthetically beautiful and quality made 304 stainless steel kettle body and lid with a minimalist base; Simple aesthetic meets powerful design! Has a 0.9 Liter boiling capacity;    ", B0C6J1HGQB ,QAHWA.,https://m.media-amazon.com/images/I/41l9YcBAMKL._AC_SY450_.jpg
https://www.amazon.sa//-/en/Saif-Elec-Electric-Turkish-E03424-warranty/dp/B08HM5J164/ref=sr_1_66?qid=1686411429&s=home&sr=1-66,"        Al Saif-Elec 0.25 Litres 400W Electric Turkish Coffee Maker | Model No E03424, min 2 yrs warranty       ",112,4.2 out of 5 stars,159 ratings,"   Modern Turkish Coffee Machine     Enjoy Making Your Own Fresh Turkish Coffee!     This turkish coffee machines from Al-Saif, is characterized by a set of specifications that make it suitable for many kitchens and offices. It is of suitable size and elegant design that makes it a masterpiece and decoration inside your kitchen or office. Al-Saif Turkish Coffee Maker prepares delicious cups of coffee in a short time , it helps you to start your day with your favorite hot drink through the push of a button with ease, the machine operates with a motor of 480 Ws and it is ideal for saving energy.     The machine provides up to 3 cups of coffee at once within few minutes, you can operate the machine easily as it contains one control button, it is easy to clean and is safe for use in the dishwasher.     Modern Turkish Coffee Machine Specifications: Capacity: 250 ml Power: 400-480 W Model Number: E03423 | E03424 | E03425 Available Colours: Grey and Black | Grey and White | Grey and Red Voltage: 220-240 V Frequency: 50-60 Hz     Guaranteed from the supplied company two years    ", B08HM5J164 ,ALMUFARREJ,https://m.media-amazon.com/images/I/51prMfyz82S._AC_SX450_.jpg
https://www.amazon.sa//-/en/Moulinex-Blender-Stainless-Dd451127-warranty/dp/B0831KLHL1/ref=sr_1_67?qid=1686411429&s=home&sr=1-67,"        Moulinex Easy Chef Hand Blender With 800 Ml Beaker, 450W, White, Plastic/Stainless Steel, Dd451127, min 2 yrs warranty       ",119,4.4 out of 5 stars,268 ratings,"   Hand Blender Easy Chef, 450W, 2 Speeds     Stainless Steel     2 Blades     Beaker 800ml     White color    ", B0831KLHL1 ,,https://m.media-amazon.com/images/I/61M8sRFmThS._AC_SY879_.jpg
https://www.amazon.sa//-/en/HOOPZOZA-Dripper-filter-set-600/dp/B0B2PDRJKV/ref=sr_1_68?qid=1686411429&s=home&sr=1-68,        HOOPZOZA 600ml Glass Coffee Pot Drip Filter with Tick Marks for Drip Coffee Maker Coffee Dripper (A-pot filter set 600)       ,54,4.2 out of 5 stars,37 ratings,"   【Coffee Pot With Filter】Glass coffee pot with tick marks and Glass drip filter , capacity 600mL     【Tick Marks】There are very clear tick marks on the coffee pot, concise and clear     【Borosilicate glass】the glass coffee pot is made of borosilicate glass, it is lighter, stronger, and more resistant to temperature changes,Can withstand instantaneous 180° temperature changes, The coffee maker can be directly heated     【Multipurpose】The cup can be used for coffee pot,milk measuring cup ,drip coffee maker     【Good gift】Split design and easy to clean, no discoloration, Enjoy coffee with your Lover, family,colleagues, friends and gift for new year, birthday,student cup    ", B0B2PDRJKV ,hoopzoza,https://m.media-amazon.com/images/I/61-H4daqqmL._AC_SY450_.jpg
